,FI,LV,RU,sum
2023-01-16 13:00:00+00:00,0.0,323.0,372.0,695.0
2023-01-16 14:00:00+00:00,0.0,362.0,398.0,760.0
2023-01-16 15:00:00+00:00,0.0,365.0,389.0,754.0
2023-01-16 16:00:00+00:00,0.0,350.0,385.0,735.0
2023-01-16 17:00:00+00:00,0.0,260.0,337.0,597.0
2023-01-16 18:00:00+00:00,0.0,239.0,279.0,518.0
2023-01-16 19:00:00+00:00,0.0,269.0,294.0,563.0
2023-01-16 20:00:00+00:00,0.0,94.0,233.0,327.0
2023-01-16 21:00:00+00:00,0.0,0.0,210.0,210.0
2023-01-16 22:00:00+00:00,0.0,0.0,204.0,204.0
2023-01-16 23:00:00+00:00,0.0,0.0,219.0,219.0
2023-01-17 00:00:00+00:00,0.0,0.0,171.0,171.0
2023-01-17 01:00:00+00:00,0.0,52.0,246.0,298.0
2023-01-17 02:00:00+00:00,0.0,64.0,237.0,301.0
2023-01-17 03:00:00+00:00,0.0,125.0,236.0,361.0
2023-01-17 04:00:00+00:00,0.0,106.0,123.0,229.0
2023-01-17 05:00:00+00:00,0.0,219.0,206.0,425.0
2023-01-17 06:00:00+00:00,0.0,227.0,231.0,458.0
2023-01-17 07:00:00+00:00,0.0,260.0,279.0,539.0
2023-01-17 08:00:00+00:00,0.0,266.0,307.0,573.0
2023-01-17 09:00:00+00:00,0.0,258.0,321.0,579.0
2023-01-17 10:00:00+00:00,0.0,236.0,293.0,529.0
2023-01-17 11:00:00+00:00,0.0,219.0,296.0,515.0
2023-01-17 12:00:00+00:00,0.0,217.0,292.0,509.0
2023-01-17 13:00:00+00:00,0.0,154.0,286.0,440.0
2023-01-17 14:00:00+00:00,0.0,180.0,295.0,475.0
2023-01-17 15:00:00+00:00,0.0,160.0,309.0,469.0
2023-01-17 16:00:00+00:00,0.0,192.0,280.0,472.0
2023-01-17 17:00:00+00:00,0.0,193.0,293.0,486.0
2023-01-17 18:00:00+00:00,0.0,172.0,246.0,418.0
2023-01-17 19:00:00+00:00,0.0,164.0,259.0,423.0
2023-01-17 20:00:00+00:00,0.0,36.0,254.0,290.0
2023-01-17 21:00:00+00:00,0.0,47.0,289.0,336.0
2023-01-17 22:00:00+00:00,0.0,21.0,281.0,302.0
2023-01-17 23:00:00+00:00,0.0,17.0,227.0,244.0
2023-01-18 00:00:00+00:00,0.0,17.0,211.0,228.0
2023-01-18 01:00:00+00:00,0.0,26.0,214.0,240.0
2023-01-18 02:00:00+00:00,0.0,52.0,250.0,302.0
2023-01-18 03:00:00+00:00,0.0,35.0,228.0,263.0
2023-01-18 04:00:00+00:00,0.0,213.0,288.0,501.0
2023-01-18 05:00:00+00:00,0.0,311.0,339.0,650.0
2023-01-18 06:00:00+00:00,0.0,288.0,259.0,547.0
2023-01-18 07:00:00+00:00,0.0,271.0,251.0,522.0
2023-01-18 08:00:00+00:00,0.0,280.0,259.0,539.0
2023-01-18 09:00:00+00:00,0.0,270.0,288.0,558.0
2023-01-18 10:00:00+00:00,0.0,233.0,318.0,551.0
2023-01-18 11:00:00+00:00,0.0,196.0,326.0,522.0
2023-01-18 12:00:00+00:00,0.0,192.0,302.0,494.0
